"insee_code","year","n_AEP","n_SOU","n_SUP","n_tot"
"01225",2018,0,117,14,131
"01225",2019,0,41,27,68
"01225",2020,0,0,78,78
"01227",2015,0,0,6,6
"01227",2018,0,0,14,14
"01227",2019,0,0,27,27
"01227",2020,0,0,14,14
"01228",2015,0,0,43,43
"01228",2017,0,0,62,62
"01228",2018,0,0,59,59
"01228",2019,0,0,115,115
"01229",2017,0,0,27,27
"01229",2018,0,0,14,14
"01229",2019,0,0,27,27
"01229",2020,0,0,14,14
"01230",2017,0,0,27,27
"01230",2018,0,0,14,14
"01230",2019,0,0,27,27
"01230",2020,0,0,14,14
"01231",2017,0,0,27,27
"01231",2018,0,0,14,14
"01231",2019,0,0,27,27
"01231",2020,0,0,14,14
"01232",2017,0,0,27,27
"01232",2018,0,0,14,14
"01232",2019,0,0,27,27
"01232",2020,0,0,14,14
"01233",2015,0,0,43,43
"01233",2017,0,0,62,62
"01233",2018,0,0,59,59
"01233",2019,0,0,115,115
"01234",2015,0,0,6,6
"01234",2018,0,0,14,14
"01234",2019,0,0,27,27
"01234",2020,0,0,14,14
"01235",2015,0,43,0,43
"01235",2017,0,115,27,142
"01235",2018,0,117,14,131
"01235",2019,0,41,27,68
"01235",2020,0,0,78,78
"01236",2017,0,0,27,27
"01236",2018,0,0,14,14
"01236",2019,0,0,27,27
"01236",2020,0,0,14,14
"01237",2015,0,0,43,43
"01237",2017,0,0,62,62
"01237",2018,0,0,59,59
"01237",2019,0,0,115,115
"01238",2015,0,43,0,43
"01238",2017,0,115,27,142
"01238",2018,0,117,14,131
"01238",2019,0,41,27,68
"01238",2020,0,0,78,78
"01239",2015,0,0,6,6
"01239",2018,0,0,14,14
"01239",2019,0,0,27,27
"01239",2020,0,0,14,14
"01240",2015,0,0,43,43
"01240",2017,0,0,62,62
"01240",2018,0,0,59,59
"01240",2019,0,0,115,115
"01241",2017,0,0,27,27
"01241",2018,0,0,14,14
"01241",2019,0,0,27,27
"01241",2020,0,0,14,14
"01242",2015,0,0,43,43
"01242",2017,0,53,62,115
"01242",2018,0,117,59,176
"01242",2019,0,231,115,346
"01242",2020,0,104,0,104
"01243",2015,0,43,0,43
"01243",2017,0,115,27,142
"01243",2018,0,117,14,131
"01243",2019,0,41,27,68
"01243",2020,0,0,78,78
"01244",2017,0,53,27,80
"01244",2018,0,117,14,131
"01244",2019,0,41,27,68
"01244",2020,0,0,78,78
"01245",2017,0,53,27,80
"01245",2018,0,117,14,131
"01245",2019,0,41,27,68
"01245",2020,0,0,14,14
"01246",2015,0,43,0,43
"01246",2017,0,115,27,142
"01246",2018,0,117,14,131
"01246",2019,0,41,27,68
"01246",2020,0,0,78,78
"01247",2015,0,43,6,49
"01247",2017,0,53,0,53
"01247",2018,0,117,14,131
"01247",2019,0,231,27,258
"01247",2020,0,0,14,14
"01248",2015,0,43,0,43
"01248",2017,0,115,27,142
"01248",2018,0,117,14,131
"01248",2019,0,41,27,68
"01248",2020,0,0,78,78
"01249",2015,0,43,0,43
"01249",2017,0,115,27,142
"01249",2018,0,117,14,131
"01249",2019,0,41,27,68
"01249",2020,0,0,78,78
"01250",2015,0,43,0,43
